  -1.8000000e+02   0.0000000e+00   6.0200000e-02
  -1.7500000e+02   2.1800000e-01   6.9900000e-02
  -1.7000000e+02   3.9700000e-01   1.1070000e-01
  -1.6000000e+02   6.4200000e-01   3.0450000e-01
  -1.5500000e+02   7.1500000e-01   4.1790000e-01
  -1.5000000e+02   7.5700000e-01   5.3550000e-01
  -1.4500000e+02   7.7200000e-01   6.5350000e-01
  -1.4000000e+02   7.6200000e-01   7.6850000e-01
  -1.3500000e+02   7.3100000e-01   8.7770000e-01
  -1.3000000e+02   6.8000000e-01   9.7880000e-01
  -1.2500000e+02   6.1300000e-01   1.0700000e+00
  -1.2000000e+02   5.3200000e-01   1.1499000e+00
  -1.1500000e+02   4.3900000e-01   1.2174000e+00
  -1.1000000e+02   3.3700000e-01   1.2716000e+00
  -1.0500000e+02   2.2800000e-01   1.3118000e+00
  -1.0000000e+02   1.1400000e-01   1.3378000e+00
  -9.5000000e+01  -2.0000000e-03   1.3492000e+00
  -9.0000000e+01  -1.2000000e-01   1.3460000e+00
  -8.5000000e+01  -2.3600000e-01   1.3283000e+00
  -8.0000000e+01  -3.4900000e-01   1.2964000e+00
  -7.5000000e+01  -4.5600000e-01   1.2507000e+00
  -7.0000000e+01  -5.5700000e-01   1.1918000e+00
  -6.5000000e+01  -6.4700000e-01   1.1204000e+00
  -6.0000000e+01  -7.2700000e-01   1.0376000e+00
  -5.5000000e+01  -7.9200000e-01   9.4460000e-01
  -5.0000000e+01  -8.4200000e-01   8.4290000e-01
  -4.5000000e+01  -8.7400000e-01   7.3450000e-01
  -4.0000000e+01  -8.8600000e-01   6.2150000e-01
  -3.5000000e+01  -8.7500000e-01   5.0670000e-01
  -3.0000000e+01  -8.3900000e-01   3.9320000e-01
  -2.5000000e+01  -7.7700000e-01   2.8490000e-01
  -2.4000000e+01  -7.6100000e-01   2.6420000e-01
  -2.3000000e+01  -7.4400000e-01   2.4400000e-01
  -2.2000000e+01  -7.2500000e-01   2.2420000e-01
  -2.1000000e+01  -7.0600000e-01   2.0490000e-01
  -2.0000000e+01  -6.8500000e-01   1.8610000e-01
  -1.9000000e+01  -6.6200000e-01   1.6870000e-01
  -1.8000000e+01  -6.3500000e-01   1.5330000e-01
  -1.7000000e+01  -6.0500000e-01   1.3980000e-01
  -1.6000000e+01  -5.7100000e-01   1.2810000e-01
  -1.5000000e+01  -5.3400000e-01   1.1830000e-01
  -1.4000000e+01  -4.9400000e-01   1.1010000e-01
  -1.3000000e+01  -4.5200000e-01   1.0360000e-01
  -1.2000000e+01  -4.0700000e-01   9.8600000e-02
  -1.1000000e+01  -3.6000000e-01   9.5100000e-02
  -1.0000000e+01  -3.1100000e-01   9.3100000e-02
  -8.0000000e+00  -2.0800000e-01   9.3000000e-02
  -6.0000000e+00  -1.1100000e-01   6.8900000e-02
  -5.5000000e+00  -9.0000000e-02   6.1400000e-02
  -5.0000000e+00  -7.2000000e-02   5.4700000e-02
  -4.5000000e+00  -6.5000000e-02   4.8000000e-02
  -4.0000000e+00  -5.4000000e-02   4.1100000e-02
  -3.5000000e+00  -1.7000000e-02   3.4900000e-02
  -3.0000000e+00   3.0000000e-03   2.9900000e-02
  -2.5000000e+00   1.4000000e-02   2.5500000e-02
  -2.0000000e+00   9.0000000e-03   1.9800000e-02
  -1.5000000e+00   4.0000000e-03   1.6400000e-02
  -1.0000000e+00   3.6000000e-02   1.4700000e-02
  -5.0000000e-01   7.3000000e-02   1.3700000e-02
   0.0000000e+00   1.3700000e-01   1.1300000e-02
   5.0000000e-01   2.1300000e-01   1.1400000e-02
   1.0000000e+00   2.9200000e-01   1.1800000e-02
   1.5000000e+00   3.6900000e-01   1.2200000e-02
   2.0000000e+00   4.4400000e-01   1.2400000e-02
   2.5000000e+00   5.1400000e-01   1.2400000e-02
   3.0000000e+00   5.8000000e-01   1.2300000e-02
   3.5000000e+00   6.4500000e-01   1.2000000e-02
   4.0000000e+00   7.1000000e-01   1.1900000e-02
   4.5000000e+00   7.7600000e-01   1.2200000e-02
   5.0000000e+00   8.4100000e-01   1.2500000e-02
   5.5000000e+00   9.0400000e-01   1.2900000e-02
   6.0000000e+00   9.6700000e-01   1.3500000e-02
   6.5000000e+00   1.0270000e+00   1.4400000e-02
   7.0000000e+00   1.0840000e+00   1.5800000e-02
   7.5000000e+00   1.1400000e+00   1.7400000e-02
   8.0000000e+00   1.1930000e+00   1.9800000e-02
   8.5000000e+00   1.2420000e+00   2.3100000e-02
   9.0000000e+00   1.2870000e+00   2.7500000e-02
   9.5000000e+00   1.3330000e+00   3.2300000e-02
   1.0000000e+01   1.3680000e+00   3.9300000e-02
   1.0500000e+01   1.4000000e+00   4.7500000e-02
   1.1000000e+01   1.4250000e+00   5.8000000e-02
   1.1500000e+01   1.4490000e+00   6.9100000e-02
   1.2000000e+01   1.4730000e+00   8.1600000e-02
   1.2500000e+01   1.4940000e+00   9.7300000e-02
   1.3000000e+01   1.5130000e+00   1.1290000e-01
   1.3500000e+01   1.5380000e+00   1.2880000e-01
   1.4500000e+01   1.5870000e+00   1.6500000e-01
   1.5000000e+01   1.6140000e+00   1.8450000e-01
   1.5500000e+01   1.6310000e+00   2.0520000e-01
   1.6000000e+01   1.6490000e+00   2.2500000e-01
   1.6500000e+01   1.6660000e+00   2.4670000e-01
   1.7000000e+01   1.6810000e+00   2.6840000e-01
   1.7500000e+01   1.6990000e+00   2.9000000e-01
   1.8000000e+01   1.7190000e+00   3.1210000e-01
   1.9000000e+01   1.7510000e+00   3.5540000e-01
